昵称,id,学历,学校,学院,专业,经验,简介
pp_xiao,5ad5584a04bad5e72c7ba227,博士生,ＪＮＵ—ＵＮＩ,ＥＣＯＮＯＭＩＣ,Economics / Finance,"而立之年，鄂中人士，求学博士，攻读经济，常有览群书之志，却无恒常心之行；
为生活之苦哉，品学术之乐哉，优哉，善哉，汇群英此乃人生之幸哉！",
黄昌弘,5ad4acb704bad5e72c7ba224,学生,武汉理工大学,管理学院,Business Administation / Management Science,想写出好论文,
许铭,5ad4586104bad5e72c7ba216,硕士研究生,中南大学,商学院,Economics / Finance,中南大学硕士研究生;研究方向:分工经济，经济不平等，金融经济理论。,"cssci论文发表一篇(有关效率测算)，在投一篇(分工消失之谜)，撰写一篇(贫困陷阱与金融减贫)。
欢迎各位交流学习！"
mini-full,5ad41ed104bad5e72c7ba1fc,研究生,武汉大学,经管院,Economics / Finance,,
rogeryuan,5ad33a7e74e96aa7413139e4,研究生,桂林电子科技大学,商学院,Business Administation / Management Science,postgrade at Guilin,战略管理在企业中的运用
Nelson,5ad2127b74e96aa7413139b6,学生,对外经济贸易大学,国际关系学院,Philosophy,,
Cherie Jiang,5ad1f02304bad5e72c7ba19f,博士生,中国矿业大学,管理学院,Business Administation / Management Science,理想是成为一名平凡的匠人,
凤池,5ad1d86f04bad5e72c7ba19d,博士生,厦门大学,管理学院,Business Administation / Management Science,学生,研究论文曾经在核心一类刊物上发表，曾参与重要国际会议。主持及参与过多项国家级课题
周杰,5ad1bcc404bad5e72c7ba19b,硕士生,南开大学,商学院,Arts and Literature,南开大学商学院硕士研究生，研究方向：战略管理、公司治理、破坏性创新,
吴雨山,5ad19b4904bad5e72c7ba19a,学生,江南大学,食品学院,Chemistry,想读phD的小硕,
朱潇涵,5ad16d7304bad5e72c7ba199,学生,中南财经政法大学,会计学院,Business Administation / Management Science,客子光阴诗卷里，杏花消息雨声中。,
匆匆聪聪,5ad16061f273f96e2e13305c,学生,南京邮电大学,管理学院,Linguistics,喜欢供应链的学生,研究《中国餐饮外卖市场细分研究》
Fangqing Pu,5ad0b45304bad5e72c7ba0ce,博士生,浙江大学,经济学院,Economics,"zju
",
李春萱,5ad05cabf273f96e2e133053,硕士生,吉林大学,管理学院,Humanities,,
徐浩,5acf88ca04bad5e72c7ba0bc,博士生,西南交通大学,经济管理学院,Business Administation / Management Science,博士生,
syp,5ace0bc7f273f96e2e132fa1,学生,北邮,经济管理学院,Business Administation / Management Science,开朗爱读书爱好文学,
陌小宁,5acdf400f273f96e2e132fa0,学生,华东师范大学,心理与认知科学学院,Psychology,华东师范大学基础心理学硕士在读,
lynn,5acda814f273f96e2e132f94,硕士,华中师范大学,心理学院,Psychology,心理学的小小探险家,
Sabrina,5acd78c604bad5e72c7ba02b,学生,河南财经政法大学,金融学院,Economics / Finance,Student,
XU Biwen,5acd7578f273f96e2e132f86,学生,武汉大学,经济与管理学院,Economics / Finance,财会,
NEO,5acc742304bad5e72c7ba01c,硕士研究生,武汉大学,经济与管理学院,Business Administation / Management Science,,
Jason Lee,5acd67a504bad5e72c7ba029,学生,南开大学,商学院,Business Administation / Management Science,,
范继刚,5acc2f5304bad5e72c7ba007,博士生,西南财经大学,商学院,Business Administation / Management Science,,
Cissy,5acc2542f273f96e2e132f5e,学生,中国人民大学,心理学系,Psychology,,
Seonghyun lee,5acb5503f273f96e2e132ede,Student,PEKING University,Finance,Business Administation / Management Science,,
Farah,5acb1714f273f96e2e132ed8,学生,复旦大学,管理学院,,"信息管理与信息系统
",
墨鱼Zoka,5ac996d504bad5e72c7b9f58,学生,中央财经大学,中央财经大学商学院,Economics / Finance,中央财经大学商学院物流管理，金融学双学位本科生，中央财经大学商学院企业管理研究生,
Zhe,5ac7798e04bad5e72c7b9ec7,学生,中央财经大学,社会与心理学院,Psychology,对组织行为和人力资源感兴趣的、致力于成为人才咨询顾问的、就读于某著名财经大学的、心理学专业的学生,
褚苓杉,5ac5bd4df273f96e2e132df9,学生,对外经济贸易大学,国际商学院,Business Administation / Management Science,,
ZHANG Chi,5ac4b47404bad5e72c7b9d81,学生,同济大学,经济与管理学院,Business Administation / Management Science,,
芳芳芳,5ac4844df273f96e2e132de7,博士生,西南财经大学,工商管理学院,Business Administation / Management Science,,
Courage,5ac434baf273f96e2e132dd1,博士,北京邮电大学,网络空间安全学院,Computer and Information Science,安全方向博士生一枚,
柏志青,5ac453ec04bad5e72c7b9d68,学生,广东海洋大学,农学院,Biological Sciences,,
阎大颖,5ac20deb04bad5e72c7b9d48,副研究员,南开大学,经济学院,Economics / Finance,"南开大学跨国公司研究中心、经济学院国际经济研究所副研究员。主要领域：国际投资、国际商务、公司金融、公司治理

",
雨风者,5ac2d4f9f273f96e2e132db7,博士生,河海大学,商学院,Business Administation / Management Science,从内心探寻真正的自我,
复了个变函数,5ac1d57404bad5e72c7b9d47,研究生,南开大学,经济学院,Economics / Finance,国际金融与贸易的学弱一枚,"目前暂未发表论文
做过极值理论在股市极端风险中的应用研究"
Amber,5ac17dbd04bad5e72c7b9d3c,博士生,南开大学,经济学院,Economics,我啊，固执又无趣,
Lynn,5ac0e92b04bad5e72c7b9d33,学生,厦门大学,管理学院,Economics / Finance,,
Xin Liu,5ac09db32d0f87fc2b8aedc8,博士生,CSU,商学院,Computer and Information Science,喜欢大数据和机器学习,
谢群,5ac071a62d0f87fc2b8aedc7,教师,南国空港经济研究中心,广东外语外贸大学南国商学院科研处,Economics,广东外语外贸大学南国商学院科研处，目前经营南国空港经济研究中心微信号,主要研究空港经济对区域经济的影响以及如何发展空港经济区
安安有只猫,5abfa0b62d0f87fc2b8aedc4,本科生,曲阜师范大学,心理系,Psychology,心理学本科狗，A life-long learner,
执笔者,5abf3e6b04bad5e72c7b9d1f,心理学硕士,陕西师范大学,心理学院,Psychology,喜欢心理学，乐于分享前沿的研究,
江湖飞熊,5abe5bf104bad5e72c7b9d1d,博士生,中山大学,管理学院,Business Administation / Management Science,尘世间迷途小书童,
gdpinchina,5abdb0be2d0f87fc2b8aed4d,学生,武汉大学,卫星导航定位技术研究中心,Engineering,"GPS, INS, ML",
Blue Stand Up,5abdb48804bad5e72c7b9d16,本科生,北京大学,心理学院,Psychology,好奇宝宝好奇宝宝的研究,
绿韵,5abddb0404bad5e72c7b9d18,研究生,南京财经大学,营管院,Business Administation / Management Science,,
文焘焘,5abd9ce104bad5e72c7b9d15,学生,南林,经管,Business Administation / Management Science,,
DING Ling,5abd05ae2d0f87fc2b8aed46,博士生,香港城市大学,信息管理系,, ,
red fire,5abd74cf2d0f87fc2b8aed47,老师,厦门理工学院,经济与管理学院,Business Administation / Management Science,a lonely fire in the consumer behavior,
小小柒,5abb033204bad5e72c7b9cd3,博士生（老师）,某985高校,管理学院,Business Administation / Management Science,小博士一枚,努力研究ing
懿卿,5abb820104bad5e72c7b9cde,学生,厦门大学,国际学院工商管理,Business Administation / Management Science,哈哈,"法律论文
儒学文化论文"
爽,5abb09bf2d0f87fc2b8aed25,学生,湖北师范,心理学,Psychology,但行好事莫问前程,
xiaolin,5aba1f9b04bad5e72c7b9cbc,学生,南开大学,周恩来政府管理学院,Social Sciences,,
阮舟一龙,5aba067b04bad5e72c7b9cba,博士生,厦门大学,管理学院,Business Administation / Management Science,拖拖拉拉，不学无术,
王素莹,5ab9fd802d0f87fc2b8aed0c,学生,武汉理工大学,管理学院,Social Sciences,,
Kevin,5ab994b704bad5e72c7b9cb2,PhD student,UIBE,Marketing,Social Sciences,Innovation management ,
Xiaoli Yin,5ab9a02204bad5e72c7b9cb5,Associate Professor ,Baruch College ,Management ,Business Administation / Management Science,"I am an associate professor in strategic management at Baruch College, NYC.","Corportate strategy, social networks, cooperative strategy"
张国杰,5ab7547304bad5e72c7b9bce,学生,中山大学,心理学院,Earth Sciences,心理学爱好者,
Marriandy,5ab5590404bad5e72c7b9b27,学生,石河子大学经管,石河子大学经管,Economics / Finance,经管,    
Jenny,5ab70dbe2d0f87fc2b8aec10,博士生,对外经济贸易大学,国际商学院,Social Sciences,对外经济贸易大学博士研究生,
李未末,5ab4b4132d0f87fc2b8aebef,硕士生,华中科技大学,管理学院,Business Administation / Management Science,,华中科技大学 管理科学与工程 硕士生
虎萝北xh,5ab4b6282d0f87fc2b8aebf0,学生,浙江大学,心理与行为科学系,Psychology,热衷于心理学的本科生,
Young,5ab4514c04bad5e72c7b9b24,graduate student,ustc,business and management school,Business Administation / Management Science,My major is managment,
看南门,5ab39f242d0f87fc2b8aebd4,学生,南开大学,周恩来政府管理学院,Social Sciences,,
nainai,5ab36b4d2d0f87fc2b8aebcd,学生,深圳大学,心理与社会学院,Psychology,心理学研究生在读,
陈皓,5ab313ee04bad5e72c7b9b09,学生,吉林大学,管理学院,,,
熊预测,5ab25b282d0f87fc2b8aebb8,学生,华东师范大学,日语系,Economics,尽可能果汁吧,你好
ericchen,5ab1c57504bad5e72c7b9ae8,硕士,陕西师范大学,心理学院,Psychology,,
嘉铭,5ab204a42d0f87fc2b8aeba3,学生,宁波大学,心理学研究所,Psychology,,
文博,5ab1ad0004bad5e72c7b9ae4,博士生,三流大学,经管院,Business Administation / Management Science,学渣一枚,发表一篇学术论文。
蔡胜利,5ab0c73c04bad5e72c7b9ad4,学生,厦大,管院,Business Administation / Management Science,硕士,
冰糖葫芦,5ab07eb92d0f87fc2b8aeb6f,学生,南京大学,工程管理学院,Economics / Finance,,
达铭,5aaf722c04bad5e72c7b9aac,业务主管,中国移动,市场部,Linguistics,爱学习，爱专研，学无止境,
Fany Chen,5aaf9cd504bad5e72c7b9ac1,硕士,暨南大学,管理学院,Psychology,执迷于心理学,三跨的研究生，对研究仍未登堂入室。
Deerme,5aaf7b6104bad5e72c7b9aaf,Doctoral Researcher,University of Edinburgh,Business,Business Administation / Management Science,I study entrepreneurship.,
姚宇,5aaf666104bad5e72c7b9aa8,硕士,贵州财经大学,工商学院,Business Administation / Management Science,管理小硕士一名，寻求论文的突破，顺利毕业，嘿嘿。,
董静静,5aaf5ab72d0f87fc2b8aeb5a,学生,西南财经大学,工商管理学院,Medicine,,
李卓恒,5aae8f892d0f87fc2b8aeb52,学生,苏州大学,心理学系,Psychology,心理学学渣,"清华大学2017年公共政策案例分析大赛全国20强
苏州大学20批课外科研项目竞赛优秀课题组
首届大学创客设计大赛一等奖
第十八届挑战杯大学生课外学术科研项目三等奖
"
颜大星,5aae69762d0f87fc2b8aeb04,在读研究生,海南大学,旅游学院,,旅游管理、旅游者消费行为,
青蔚,5aae56662d0f87fc2b8aead2,学生,首经贸,金融学院,,,
ding2ming,5aacdc052d0f87fc2b8aeaa4,在读硕士,华南理工大学,工商管理学院,Business Administation / Management Science,研究僧 on the half way,
大发是少女,5aae3fc22d0f87fc2b8aeacf,学生,天津体育学院,教育与心理学院,Psychology,,
杨刚 ,5aadda2504bad5e72c7b99c6,兴业银行,实习生,,Economics / Finance,上海财经大学 金融硕士,
Althea,5aae13812d0f87fc2b8aeacc,学生,武汉大学,哲学学院心理学系,,psychological student,
min,5aab639204bad5e72c7b9940,博士,四川大学,临床学院,Business Administation / Management Science,,
吴克明,5aab21bf04bad5e72c7b9920,学生,浙江海洋大学,管理学院,,行为学科,
黄亚琼,5aa7b6422d0f87fc2b8ae7d8,学生,中南民族大学,管理学院,Business Administation / Management Science,,
陆小臻,5aa95ec42d0f87fc2b8ae819,博士,国防科技大,政治学,Computer and Information Science,,
Fiona,5aaa22d004bad5e72c7b9904,管理者 研究人员,大学,学院,Business Administation / Management Science,Make each day  count!,
hui,5aaa75b704bad5e72c7b9915,副教授,高校,心理学院,Psychology,应用心理学方向研究,合作博弈，决策，情绪的作用
柯四平,5aa7640b2d0f87fc2b8ae7c7,硕士研究生,长安大学,公路学院,Engineering,,
汪卫平,5aa74cbc2d0f87fc2b8ae7b2,,,,Education,复旦大学 管理学 教育学  ,
李媌媌,5aa71da92d0f87fc2b8ae7ab,学生,中南大学,公共管理学院,Business Administation / Management Science,,
陶菲格,5aa69ffe04bad5e72c7b988d,学生,海事大学,旅游学院,Business Administation / Management Science,,
Dorothy,5aa676de04bad5e72c7b987d,学生,北京师范大学,经济与工商管理学院,Economics,本科在读,
刘畅,5aa672972d0f87fc2b8ae795,博士生,清华大学,工程物理系,Engineering,,
Chris XIAO,5aa68b5d04bad5e72c7b9886,学生,中山大学,管理学院MBA,Business Administation / Management Science,中山大学在职MBA，营销，泰语，英语,
Skyler,5aa529222d0f87fc2b8ae77a,学生,华南师范大学,心里学院,Psychology,Hey,
李心田,5aa4d7fc2d0f87fc2b8ae73d,高校教师,,华北水利水电大学管理与经济学院,,关注上市公司研究，深入分析公司舞弊行为。,
彭雪姿,5aa4b9002d0f87fc2b8ae715,学生,重庆师范大学,教育科学学院,Psychology,,
宇文万象,5aa340882d0f87fc2b8ae6f7,投资人,中山大学,管理学院,Economics / Finance,万卷书，万里路……,
风雨,5aa4073704bad5e72c7b9822,学生,石河子大学,经济与管理学院,Arts and Literature,坚毅精进,环境经济
辣了个鸡,5aa4151b2d0f87fc2b8ae70a,学生,江西师范大学,心理学院,Psychology,心理学在读,
魏杨,5aa459bb2d0f87fc2b8ae70b,博士生,北师大,经济与资源管理研究院,Economics / Finance,动态经济学研究,
Jeffrey,5aa48d452d0f87fc2b8ae70c,MBA学生,中山大学&南方电网,管理学院,Business Administation / Management Science,power marketing & trade,"电力系统保护与控制
电力市场营销
电力市场交易
电力销售公司管理"
何贺敏,5aa498812d0f87fc2b8ae70d,博士生,北京大学,汇丰商学院,Economics / Finance,找研究兴趣的准博士,关于经济政策不确定性的一些研究
Gyokii,5aa1f6c42d0f87fc2b8ae6e5,学生,西南大学,心理学部,Psychology,,
Dora,5aa1e81604bad5e72c7b9812,助理教授,湖南大学,工商管理学院,Business Administation / Management Science,从事土地管理，治理机制研究,
肉松汤圆,5aa0e12f2d0f87fc2b8ae6cc,研究员,北京师范大学,,Psychology,热爱生活，热爱花草，热爱睡觉的人,
